term_id,parent_id,parent_slug,parent_path,path,name,slug,description,display_type,image_id,image_url,menu_order,count
1265,66,controlere-si-alimentari,Iluminat si surse de lumina > Controlere și alimentări,Iluminat si surse de lumina > Controlere și alimentări > Dimere și controlere,Dimere și controlere,dimere-si-controlere,,default,,,0,158
381,66,controlere-si-alimentari,Iluminat si surse de lumina > Controlere și alimentări,Iluminat si surse de lumina > Controlere și alimentări > Drivere LED,Drivere LED,drivere-led,,default,,,0,276
2694,66,controlere-si-alimentari,Iluminat si surse de lumina > Controlere și alimentări,Iluminat si surse de lumina > Controlere și alimentări > Transformatoare,Transformatoare,transformatoare,,default,,,,3
2677,,iluminat-si-surse-de-lumina,Iluminat si surse de lumina,Iluminat si surse de lumina > Corpuri de iluminat,Corpuri de iluminat,corpuri-de-iluminat,,default,,,,3
3118,2677,corpuri-de-iluminat,Iluminat si surse de lumina > Corpuri de iluminat,Iluminat si surse de lumina > Corpuri de iluminat > Corpuri de iluminat cu priză Schuko integrată,Corpuri de iluminat cu priză Schuko integrată,corpuri-de-iluminat-cu-priza-schuko-integrata,,default,,,,1
2678,2677,corpuri-de-iluminat,Iluminat si surse de lumina > Corpuri de iluminat,Iluminat si surse de lumina > Corpuri de iluminat > Corpuri de iluminat fără conexiune la comutatorul de poziţie uşă,Corpuri de iluminat fără conexiune la comutatorul de poziţie uşă,corpuri-de-iluminat-fara-conexiune-la-comutatorul-de-pozitie-usa,,default,,,,2
370,,iluminat-si-surse-de-lumina,Iluminat si surse de lumina,Iluminat si surse de lumina > Corpuri de iluminat AM,Corpuri de iluminat AM,corpuri-de-iluminat-am,,default,,,0,130
371,370,corpuri-de-iluminat-am,Iluminat si surse de lumina > Corpuri de iluminat AM,Iluminat si surse de lumina > Corpuri de iluminat AM > AX,AX,ax,,default,,,0,130
1188,371,ax,Iluminat si surse de lumina > Corpuri de iluminat AM > AX,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AI - montaj încastrat în perete - distanță de vizualizare 15m,Corpuri de iluminat Design AI - montaj încastrat în perete - distanță de vizualizare 15m,corpuri-de-iluminat-design-ai-montaj-incastrat-in-perete-distanta-de-vizualizare-15m,,default,,,0,3
1680,371,ax,Iluminat si surse de lumina > Corpuri de iluminat AM > AX,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AI - montaj încastrat în tavan - distanță de vizualizare 15m,Corpuri de iluminat Design AI - montaj încastrat în tavan - distanță de vizualizare 15m,corpuri-de-iluminat-design-ai-montaj-incastrat-in-tavan-distanta-de-vizualizare-15m,,default,,,0,3
1651,371,ax,Iluminat si surse de lumina > Corpuri de iluminat AM > AX,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AI - montaj încastrat în tavan cu tijă pendul - distanță de vizualizare 15m,Corpuri de iluminat Design AI - montaj încastrat în tavan cu tijă pendul - distanță de vizualizare 15m,corpuri-de-iluminat-design-ai-montaj-incastrat-in-tavan-cu-tija-pendul-distanta-de-vizualizare-15m,,default,,,0,3
372,371,ax,Iluminat si surse de lumina > Corpuri de iluminat AM > AX,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM,Corpuri de iluminat Design AM,corpuri-de-iluminat-design-am,,default,,,0,121
1131,372,corpuri-de-iluminat-design-am,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj aparent cu cablu de tavan - distanță de vizualizare 22m,AX - montaj aparent cu cablu de tavan - distanță de vizualizare 22m,ax-montaj-aparent-cu-cablu-de-tavan-distanta-de-vizualizare-22m,,default,,,0,17
1132,1131,ax-montaj-aparent-cu-cablu-de-tavan-distanta-de-vizualizare-22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj aparent cu cablu de tavan - distanță de vizualizare 22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj aparent cu cablu de tavan - distanță de vizualizare 22m > 30m,30m,30m-ax-montaj-aparent-cu-cablu-de-tavan-distanta-de-vizualizare-22m,,default,,,0,17
809,372,corpuri-de-iluminat-design-am,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj aparent cu pendul pe tavan - distanță de vizualizare 22m,AX - montaj aparent cu pendul pe tavan - distanță de vizualizare 22m,ax-montaj-aparent-cu-pendul-pe-tavan-distanta-de-vizualizare-22m,,default,,,0,3
810,809,ax-montaj-aparent-cu-pendul-pe-tavan-distanta-de-vizualizare-22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj aparent cu pendul pe tavan - distanță de vizualizare 22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj aparent cu pendul pe tavan - distanță de vizualizare 22m > 30m,30m,30m-ax-montaj-aparent-cu-pendul-pe-tavan-distanta-de-vizualizare-22m,,default,,,0,3
1833,372,corpuri-de-iluminat-design-am,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj aparent pe perete - distanță de vizualizare 22m,AX - montaj aparent pe perete - distanță de vizualizare 22m,ax-montaj-aparent-pe-perete-distanta-de-vizualizare-22m,,default,,,0,6
1834,1833,ax-montaj-aparent-pe-perete-distanta-de-vizualizare-22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj aparent pe perete - distanță de vizualizare 22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj aparent pe perete - distanță de vizualizare 22m > 30m,30m,30m-ax-montaj-aparent-pe-perete-distanta-de-vizualizare-22m,,default,,,0,6
1146,372,corpuri-de-iluminat-design-am,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj aparent pe tavan - distanță de vizualizare 22m,AX - montaj aparent pe tavan - distanță de vizualizare 22m,ax-montaj-aparent-pe-tavan-distanta-de-vizualizare-22m,,default,,,0,16
1147,1146,ax-montaj-aparent-pe-tavan-distanta-de-vizualizare-22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj aparent pe tavan - distanță de vizualizare 22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj aparent pe tavan - distanță de vizualizare 22m > 30m,30m,30m-ax-montaj-aparent-pe-tavan-distanta-de-vizualizare-22m,,default,,,0,16
671,372,corpuri-de-iluminat-design-am,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj pe perete - distanță de vizualizare 22m,AX - montaj pe perete - distanță de vizualizare 22m,ax-montaj-pe-perete-distanta-de-vizualizare-22m,,default,,,0,43
672,671,ax-montaj-pe-perete-distanta-de-vizualizare-22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj pe perete - distanță de vizualizare 22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj pe perete - distanță de vizualizare 22m > 30m,30m,30m-ax-montaj-pe-perete-distanta-de-vizualizare-22m,,default,,,0,43
478,372,corpuri-de-iluminat-design-am,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj încastrat cu cablu de tavan - distanță de vizualizare 22m,AX - montaj încastrat cu cablu de tavan - distanță de vizualizare 22m,ax-montaj-incastrat-cu-cablu-de-tavan-distanta-de-vizualizare-22m,,default,,,0,15
479,478,ax-montaj-incastrat-cu-cablu-de-tavan-distanta-de-vizualizare-22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj încastrat cu cablu de tavan - distanță de vizualizare 22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj încastrat cu cablu de tavan - distanță de vizualizare 22m > 30m,30m,30m-ax-montaj-incastrat-cu-cablu-de-tavan-distanta-de-vizualizare-22m,,default,,,0,15
1351,372,corpuri-de-iluminat-design-am,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj încastrat în tavan - distanță de vizualizare 22m,AX - montaj încastrat în tavan - distanță de vizualizare 22m,ax-montaj-incastrat-in-tavan-distanta-de-vizualizare-22m,,default,,,0,12
1352,1351,ax-montaj-incastrat-in-tavan-distanta-de-vizualizare-22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj încastrat în tavan - distanță de vizualizare 22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj încastrat în tavan - distanță de vizualizare 22m > 30m,30m,30m-ax-montaj-incastrat-in-tavan-distanta-de-vizualizare-22m,,default,,,0,12
1452,372,corpuri-de-iluminat-design-am,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj încastrat în tavan cu tijă pendul - distanță de vizualizare 22m,AX - montaj încastrat în tavan cu tijă pendul - distanță de vizualizare 22m,ax-montaj-incastrat-in-tavan-cu-tija-pendul-distanta-de-vizualizare-22m,,default,,,0,3
1453,1452,ax-montaj-incastrat-in-tavan-cu-tija-pendul-distanta-de-vizualizare-22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj încastrat în tavan cu tijă pendul - distanță de vizualizare 22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX - montaj încastrat în tavan cu tijă pendul - distanță de vizualizare 22m > 30m,30m,30m-ax-montaj-incastrat-in-tavan-cu-tija-pendul-distanta-de-vizualizare-22m,,default,,,0,3
373,372,corpuri-de-iluminat-design-am,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX – montaj încastrat în perete cu extensie - distanță de vizualizare 22m,AX – montaj încastrat în perete cu extensie - distanță de vizualizare 22m,ax-montaj-incastrat-in-perete-cu-extensie-distanta-de-vizualizare-22m,,default,,,0,6
374,373,ax-montaj-incastrat-in-perete-cu-extensie-distanta-de-vizualizare-22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX – montaj încastrat în perete cu extensie - distanță de vizualizare 22m,Iluminat si surse de lumina > Corpuri de iluminat AM > AX > Corpuri de iluminat Design AM > AX – montaj încastrat în perete cu extensie - distanță de vizualizare 22m > 30m,30m,30m,,default,,,0,6
111,,iluminat-si-surse-de-lumina,Iluminat si surse de lumina,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Corpuri de iluminat cu pictograme de evacuare,corpuri-de-iluminat-cu-pictograme-de-evacuare,,default,,,0,300
1141,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design ASM - distanță de vizualizare 22m,Corpuri de iluminat Design ASM - distanță de vizualizare 22m,corpuri-de-iluminat-design-asm-distanta-de-vizualizare-22m,,default,,,0,8
1032,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design EX - zona antiex 2,Corpuri de iluminat Design EX - zona antiex 2,corpuri-de-iluminat-design-ex-zona-antiex-2,,default,,,0,7
1033,1032,corpuri-de-iluminat-design-ex-zona-antiex-2,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design EX - zona antiex 2,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design EX - zona antiex 2 > 22 - distanță de vizualizare 20m,22 - distanță de vizualizare 20m,22-distanta-de-vizualizare-20m,,default,,,0,7
1469,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design FM - distanță de vizualizare 22m,Corpuri de iluminat Design FM - distanță de vizualizare 22m,corpuri-de-iluminat-design-fm-distanta-de-vizualizare-22m,,default,,,0,5
1523,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design FM Flexway - distanță de vizualizare 20m,Corpuri de iluminat Design FM Flexway - distanță de vizualizare 20m,corpuri-de-iluminat-design-fm-flexway-distanta-de-vizualizare-20m,,default,,,0,2
134,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design K2 - distanță de vizualizare 27m,Corpuri de iluminat Design K2 - distanță de vizualizare 27m,corpuri-de-iluminat-design-k2-distanta-de-vizualizare-27m,,default,,,0,9
1370,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design K3 - distanță de vizualizare 27m,Corpuri de iluminat Design K3 - distanță de vizualizare 27m,corpuri-de-iluminat-design-k3-distanta-de-vizualizare-27m,,default,,,0,2
1192,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design K4 - distanță de vizualizare 27m,Corpuri de iluminat Design K4 - distanță de vizualizare 27m,corpuri-de-iluminat-design-k4-distanta-de-vizualizare-27m,,default,,,0,4
806,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design K5 - distanță de vizualizare 20m,Corpuri de iluminat Design K5 - distanță de vizualizare 20m,corpuri-de-iluminat-design-k5-distanta-de-vizualizare-20m,,default,,,0,13
1190,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design K8 - distanță de vizualizare 20m,Corpuri de iluminat Design K8 - distanță de vizualizare 20m,corpuri-de-iluminat-design-k8-distanta-de-vizualizare-20m,,default,,,0,9
1104,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design K9 - distanță de vizualizare 20m,Corpuri de iluminat Design K9 - distanță de vizualizare 20m,corpuri-de-iluminat-design-k9-distanta-de-vizualizare-20m,,default,,,0,13
1105,1104,corpuri-de-iluminat-design-k9-distanta-de-vizualizare-20m,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design K9 - distanță de vizualizare 20m,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design K9 - distanță de vizualizare 20m > 30m,30m,30m-corpuri-de-iluminat-design-k9-distanta-de-vizualizare-20m,,default,,,0,13
1317,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design KB - distanță de vizualizare 14,Corpuri de iluminat Design KB - distanță de vizualizare 14,corpuri-de-iluminat-design-kb-distanta-de-vizualizare-14,,default,,,0,17
1318,1317,corpuri-de-iluminat-design-kb-distanta-de-vizualizare-14,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design KB - distanță de vizualizare 14,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design KB - distanță de vizualizare 14 > 22,22,22,,default,,,0,17
1319,1318,22,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design KB - distanță de vizualizare 14 > 22,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design KB - distanță de vizualizare 14 > 22 > 30m,30m,30m-22,,default,,,0,17
586,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design KC - distanță de vizualizare 30m,Corpuri de iluminat Design KC - distanță de vizualizare 30m,corpuri-de-iluminat-design-kc-distanta-de-vizualizare-30m,,default,,,0,27
1551,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design KD - distanță de vizualizare 22m,Corpuri de iluminat Design KD - distanță de vizualizare 22m,corpuri-de-iluminat-design-kd-distanta-de-vizualizare-22m,,default,,,0,2
1232,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design KM - distanță de vizualizare 24m,Corpuri de iluminat Design KM - distanță de vizualizare 24m,corpuri-de-iluminat-design-km-distanta-de-vizualizare-24m,,default,,,,7
451,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design KS - distanță de vizualizare 22m,Corpuri de iluminat Design KS - distanță de vizualizare 22m,corpuri-de-iluminat-design-ks-distanta-de-vizualizare-22m,,default,,,0,21
112,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design KT - distanță de vizualizare 16m,Corpuri de iluminat Design KT - distanță de vizualizare 16m,corpuri-de-iluminat-design-kt-distanta-de-vizualizare-16m,,default,,,0,2
1832,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design KW - distanță de vizualizare 16m,Corpuri de iluminat Design KW - distanță de vizualizare 16m,corpuri-de-iluminat-design-kw-distanta-de-vizualizare-16m,,default,,,0,6
737,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design KWI - distanță de vizualizare 16m,Corpuri de iluminat Design KWI - distanță de vizualizare 16m,corpuri-de-iluminat-design-kwi-distanta-de-vizualizare-16m,,default,,,0,35
746,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design KX - distanță de vizualizare 30m,Corpuri de iluminat Design KX - distanță de vizualizare 30m,corpuri-de-iluminat-design-kx-distanta-de-vizualizare-30m,,default,,,0,16
732,111,corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design LM,Corpuri de iluminat Design LM,corpuri-de-iluminat-design-lm,,default,,,0,7
733,732,corpuri-de-iluminat-design-lm,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design LM,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design LM > LX,LX,lx,,default,,,0,7
734,733,lx,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design LM > LX,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design LM > LX > LS - distanță de vizualizare 22m,LS - distanță de vizualizare 22m,ls-distanta-de-vizualizare-22m,,default,,,0,7
735,734,ls-distanta-de-vizualizare-22m,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design LM > LX > LS - distanță de vizualizare 22m,Iluminat si surse de lumina > Corpuri de iluminat cu pictograme de evacuare > Corpuri de iluminat Design LM > LX > LS - distanță de vizualizare 22m > 34m,34m,34m,,default,,,0,7
