main_category,main_slug,root_term_id,root_name,root_slug,root_path,root_count,subtree_rows,subtree_count_sum,confidence,reason
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,135,Cabluri de Cupru pentru instalații,cabluri-de-cupru-pentru-instalatii,Cabluri de Cupru pentru instalații,103,25,309,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,73,"Cabluri de energie 0,6",cabluri-de-energie-06,"Cabluri de energie 0,6",479,16,1986,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,40,Cabluri pentru echipamente electronice,cabluri-pentru-echipamente-electronice,Cabluri pentru echipamente electronice,455,6,910,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,1579,Cabluri pentru instalaţii,cabluri-pentru-instalatii,Cabluri pentru instalaţii,13,10,39,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,914,Cabluri pentru macarale și utilaje de ridicat,cabluri-pentru-macarale-si-utilaje-de-ridicat,Cabluri pentru macarale și utilaje de ridicat,42,3,84,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,838,Cabluri pentru zone de construcție,cabluri-pentru-zone-de-constructie,Cabluri pentru zone de construcție,30,3,60,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,3190,Cabluri si accesorii,cabluri-si-accesorii,Cabluri si accesorii,370,11,740,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,2430,Cabluri universale pentru interior,cabluri-universale-pentru-interior,Cabluri universale pentru interior,3,8,15,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,170,Cabluri și conductoare cu izolație din cauciuc,cabluri-si-conductoare-cu-izolatie-din-cauciuc,Cabluri și conductoare cu izolație din cauciuc,282,7,600,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,82,Cabluri și conductoare cu izolație fără halogen,cabluri-si-conductoare-cu-izolatie-fara-halogen,Cabluri și conductoare cu izolație fără halogen,326,14,732,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,420,Cabluri și conductoare termorezistente,cabluri-si-conductoare-termorezistente,Cabluri și conductoare termorezistente,24,5,48,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,1361,Canale de cabluri,canale-de-cabluri,Canale de cabluri,42,5,84,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,393,Canale de cabluri şliţate,canale-de-cabluri-slitate,Canale de cabluri şliţate,39,6,78,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,1570,Cleme de conexiune,cleme-de-conexiune,Cleme de conexiune,1,2,2,high,keyword in root: cleme
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,362,Cleme de derivaţie şi de conexiune pentru coloane de cabluri,cleme-de-derivatie-si-de-conexiune-pentru-coloane-de-cabluri,Cleme de derivaţie şi de conexiune pentru coloane de cabluri,160,12,320,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,921,Cleme pentru doze,cleme-pentru-doze,Cleme pentru doze,44,9,88,high,keyword in root: cleme
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,1621,Cleme terminale contact elastic IK2,cleme-terminale-contact-elastic-ik2,Cleme terminale contact elastic IK2,69,10,141,high,keyword in root: cleme
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,282,Cleme şir conexiune cu arc- Seria ST,cleme-sir-conexiune-cu-arc-seria-st,Cleme şir conexiune cu arc- Seria ST,294,8,588,high,keyword in root: cleme
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,321,Cleme şir conexiune cu şurub - Seria TB,cleme-sir-conexiune-cu-surub-seria-tb,Cleme şir conexiune cu şurub - Seria TB,130,12,260,high,keyword in root: cleme
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,582,Cleme șir-conexiune cu șurub IK1,cleme-sir-conexiune-cu-surub-ik1,Cleme șir-conexiune cu șurub IK1,150,19,300,high,keyword in root: cleme
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,1185,Cleme șir-conexiune cu șurub IK6,cleme-sir-conexiune-cu-surub-ik6,Cleme șir-conexiune cu șurub IK6,88,15,176,high,keyword in root: cleme
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,1027,Cleme șir-conexiune elastică IK6,cleme-sir-conexiune-elastica-ik6,Cleme șir-conexiune elastică IK6,49,9,98,high,keyword in root: cleme
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,165,Conductoare cu izolaţie din PVC,conductoare-cu-izolatie-din-pvc,Conductoare cu izolaţie din PVC,385,15,770,high,keyword in root: conductoare
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,567,Labeling system SmartPrintPlus,labeling-system-smartprintplus,Labeling system SmartPrintPlus,101,3,202,high,exact: etichetare conductori si borne
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,529,Organizatoare cabluri,organizatoare-cabluri,Organizatoare cabluri,78,11,156,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,643,Organizatoare de cabluri,organizatoare-de-cabluri,Organizatoare de cabluri,35,6,70,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,2134,Papuci,papuci,Papuci,42,7,126,high,keyword in root: papuci
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,2140,Papuci &amp; Accesorii pentru cabluri,papuci-accesorii-pentru-cabluri,Papuci &amp; Accesorii pentru cabluri,85,2,170,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,988,Push-in Terminals IK3,push-in-terminals-ik3,Push-in Terminals IK3,32,5,64,high,keyword in root: terminals
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,1283,Sistem de bobine (stocare şi derulare conductoare),sistem-de-bobine-stocare-si-derulare-conductoare,Sistem de bobine (stocare şi derulare conductoare),97,9,194,high,keyword in root: conductoare
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,1532,Sisteme de fixare a cablurilor,sisteme-de-fixare-a-cablurilor,Sisteme de fixare a cablurilor,31,7,62,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,405,Tuburi termocontractibile,tuburi-termocontractibile,Tuburi termocontractibile,14,1,14,high,keyword in root: termocontractibile
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,209,Accesorii,accesorii-2,Accesorii,968,30,1178,high,exact: accesorii generale de instalare
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,1712,Accesorii de montaj,accesorii-de-montaj,Accesorii de montaj,3,3,6,high,keyword in root: montaj
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,364,Accesorii diverse,accesorii-diverse,Accesorii diverse,12,2,24,high,exact: accesorii diverse
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,1347,Accessories,accessories-2,Accessories,4,3,8,high,exact: accesorii generale
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,886,"Burghie, maşini de găurit",burghie-masini-de-gaurit-2,"Burghie, maşini de găurit",24,5,48,high,keyword in root: burghie
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,2190,Canale parapet tip Signa Base,canale-parapet-tip-signa-base,Canale parapet tip Signa Base,42,18,114,high,keyword in root: canale
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,2147,Canale parapet tip SIGNO BK,canale-parapet-tip-signo-bk,Canale parapet tip SIGNO BK,2,3,4,high,keyword in root: canale
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,1212,Cataloage,cataloage,Cataloage,113,1,113,high,exact: documentatie si materiale auxiliare
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,2723,Cleşti,clesti,Cleşti,2,3,4,high,keyword in root: clesti
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,2183,Coturi,coturi,Coturi,22,5,44,high,keyword in root: coturi
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,2833,Cuţite,cutite,Cuţite,2,2,4,high,keyword in root: cutite
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,345,Doze în pardoseală,doze-in-pardoseala,Doze în pardoseală,17,5,34,high,keyword in root: doze
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,15,Fără categorie,fara-categorie,Fără categorie,0,1,0,high,exact: categorie neutra
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,564,Materiale diverse,materiale-diverse,Materiale diverse,33,2,66,high,exact: materiale auxiliare
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,2199,Mufe aderente (pentru tuburi rigide),mufe-aderente-pentru-tuburi-rigide,Mufe aderente (pentru tuburi rigide),7,2,14,high,keyword in root: tuburi
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,2103,Mufe Flex (pentru tuburi flexibile),mufe-flex-pentru-tuburi-flexibile,Mufe Flex (pentru tuburi flexibile),8,3,16,high,keyword in root: tuburi
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,2206,"Paste de etanşare, de umplere şi de lubrifiere",paste-de-etansare-de-umplere-si-de-lubrifiere,"Paste de etanşare, de umplere şi de lubrifiere",4,4,8,high,keyword in root: paste
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,1963,Pentru montaj aparent,pentru-montaj-aparent,Pentru montaj aparent,4,4,10,high,keyword in root: montaj
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,2623,Răşină de etanşare,rasina-de-etansare,Răşină de etanşare,7,4,21,high,keyword in root: rasina
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,3311,Scule si unelte,scule-si-unelte,Scule si unelte,9,5,18,high,keyword in root: scule
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,293,Scule şi unelte pentru instalaţii electrice,scule-si-unelte-pentru-instalatii-electrice,Scule şi unelte pentru instalaţii electrice,30,3,60,high,keyword in root: scule
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,140,Seturi complete de cadre modulare de montaj,seturi-complete-de-cadre-modulare-de-montaj,Seturi complete de cadre modulare de montaj,15,3,30,high,keyword in root: montaj
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,2042,"Suporţi montaj pe perete, Catarge, Suporţi pentru terase şi acoperşuri plate, accesorii pentru instalare",suporti-montaj-pe-perete-catarge-suporti-pentru-terase-si-acopersuri-plate-accesorii-pentru-instalare,"Suporţi montaj pe perete, Catarge, Suporţi pentru terase şi acoperşuri plate, accesorii pentru instalare",40,16,80,high,keyword in root: montaj
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,1601,Tuburi flexibile pentru instalaţii electrice,tuburi-flexibile-pentru-instalatii-electrice,Tuburi flexibile pentru instalaţii electrice,23,5,46,high,keyword in root: tuburi
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,2131,Tuburi rigide pentru instalaţii electrice,tuburi-rigide-pentru-instalatii-electrice,Tuburi rigide pentru instalaţii electrice,100,7,200,high,keyword in root: tuburi
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,691,Tăvi,tavi,Tăvi,101,10,202,high,keyword in root: tavi
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,25,Uncategorized,uncategorized,Uncategorized,0,1,0,high,exact: categorie neutra
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,3079,Şurubelniţe,surubelnite,Şurubelniţe,1,2,2,high,keyword in root: surubelnite
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,245,"Şurubelniţe, cleşti, prese, truse de scule",surubelnite-clesti-prese-truse-de-scule,"Şurubelniţe, cleşti, prese, truse de scule",197,2,394,high,keyword in root: scule
"Instalatii, trasee cabluri si scule",instalatii-trasee-cabluri-si-scule,1235,"Şuruburi, dibluri, cuie",suruburi-dibluri-cuie,"Şuruburi, dibluri, cuie",37,4,74,high,keyword in root: suruburi
Protectie electrica si comutatie,protectie-electrica-si-comutatie,353,Accesorii pentru separatoare de sarcină verticale cu fuzibili,accesorii-pentru-separatoare-de-sarcina-verticale-cu-fuzibili,Accesorii pentru separatoare de sarcină verticale cu fuzibili,20,5,40,high,keyword in root: fuzibil
Protectie electrica si comutatie,protectie-electrica-si-comutatie,36,Aparate de protecție şi accesorii,aparate-de-protectie-si-accesorii,Aparate de protecție şi accesorii,194,2,388,high,keyword in root: protectie
Protectie electrica si comutatie,protectie-electrica-si-comutatie,2170,"Aparate electrice cu siguranţe fuzibile, sisteme de bare",aparate-electrice-cu-sigurante-fuzibile-sisteme-de-bare,"Aparate electrice cu siguranţe fuzibile, sisteme de bare",26,2,52,high,keyword in root: fuzibil
Protectie electrica si comutatie,protectie-electrica-si-comutatie,205,Aparate de protecţie pentru portfuzibile Neozed D0,aparate-de-protectie-pentru-portfuzibile-neozed-d0,Aparate de protecţie pentru portfuzibile Neozed D0,204,4,408,high,keyword in root: protectie
Protectie electrica si comutatie,protectie-electrica-si-comutatie,285,Aparate şi accesorii pentru portfuzibile NH,aparate-si-accesorii-pentru-portfuzibile-nh,Aparate şi accesorii pentru portfuzibile NH,269,4,538,high,keyword in root: portfuz
Protectie electrica si comutatie,protectie-electrica-si-comutatie,3279,"Celule parțial asamblate pentru separatoare verticale cu siguranțe fuzibile, Modul 2500TT",celule-partial-asamblate-pentru-separatoare-verticale-cu-sigurante-fuzibile-modul-2500tt,"Celule parțial asamblate pentru separatoare verticale cu siguranțe fuzibile, Modul 2500TT",4,2,8,high,keyword in root: fuzibil
Protectie electrica si comutatie,protectie-electrica-si-comutatie,333,Comutatoare cu came,comutatoare-cu-came,Comutatoare cu came,9,3,18,high,keyword in root: comutatoare cu came
Protectie electrica si comutatie,protectie-electrica-si-comutatie,2150,Comutatoare de sarcină MC cu montaj fix,comutatoare-de-sarcina-mc-cu-montaj-fix,Comutatoare de sarcină MC cu montaj fix,46,11,92,high,keyword in root: comutatoare de sarcina
Protectie electrica si comutatie,protectie-electrica-si-comutatie,2411,"Comutatoare de sarcină MC, în execuție plug-in şi debroşabile",comutatoare-de-sarcina-mc-in-executie-plug-in-si-debrosabile,"Comutatoare de sarcină MC, în execuție plug-in şi debroşabile",8,3,16,high,keyword in root: comutatoare de sarcina
Protectie electrica si comutatie,protectie-electrica-si-comutatie,2287,"Comutatoare de sarcină ML, montaj fix",comutatoare-de-sarcina-ml-montaj-fix,"Comutatoare de sarcină ML, montaj fix",32,8,64,high,keyword in root: comutatoare de sarcina
Protectie electrica si comutatie,protectie-electrica-si-comutatie,548,"Comutatoare de sarcină MX, montaj fix",comutatoare-de-sarcina-mx-montaj-fix,"Comutatoare de sarcină MX, montaj fix",13,11,26,high,keyword in root: comutatoare de sarcina
Protectie electrica si comutatie,protectie-electrica-si-comutatie,1021,Comutatoare modulare,comutatoare-modulare,Comutatoare modulare,38,4,76,medium,keyword in subtree: comutatoare principale
Protectie electrica si comutatie,protectie-electrica-si-comutatie,214,"Comutatoare principale, comutatoare pentru oprire de urgenţă şi pentru reparaţii",comutatoare-principale-comutatoare-pentru-oprire-de-urgenta-si-pentru-reparatii,"Comutatoare principale, comutatoare pentru oprire de urgenţă şi pentru reparaţii",120,4,240,high,keyword in root: comutatoare principale
Protectie electrica si comutatie,protectie-electrica-si-comutatie,1004,Descărcătoare,descarcatoare,Descărcătoare,6,3,12,high,keyword in root: descarcatoare
Protectie electrica si comutatie,protectie-electrica-si-comutatie,523,Dispozitive de detectare a arcului electric,dispozitive-de-detectare-a-arcului-electric,Dispozitive de detectare a arcului electric,48,8,96,high,keyword in root: detectare a arcului
Protectie electrica si comutatie,protectie-electrica-si-comutatie,360,Dispozitive de protecţie la curent de trăsnet şi supratensiune,dispozitive-de-protectie-la-curent-de-trasnet-si-supratensiune,Dispozitive de protecţie la curent de trăsnet şi supratensiune,130,9,260,high,keyword in root: protectie
Protectie electrica si comutatie,protectie-electrica-si-comutatie,2358,"MC 1000VDC switch-disconnector, fixed installation",mc-1000vdc-switch-disconnector-fixed-installation,"MC 1000VDC switch-disconnector, fixed installation",9,4,18,high,keyword in root: switch disconnector
Protectie electrica si comutatie,protectie-electrica-si-comutatie,1609,"Modul 2000TT, tablouri cu separatoare de sarcină verticale",modul-2000tt-tablouri-cu-separatoare-de-sarcina-verticale,"Modul 2000TT, tablouri cu separatoare de sarcină verticale",4,2,8,high,keyword in root: separatoare
Protectie electrica si comutatie,protectie-electrica-si-comutatie,1505,"Modul 2000TT, tablouri parţial asamblate cu întreruptoare automate",modul-2000tt-tablouri-partial-asamblate-cu-intreruptoare-automate,"Modul 2000TT, tablouri parţial asamblate cu întreruptoare automate",21,5,42,high,keyword in root: intreruptoare automate
Protectie electrica si comutatie,protectie-electrica-si-comutatie,1324,Portfuzibile cilindrice,portfuzibile-cilindrice,Portfuzibile cilindrice,131,4,262,high,keyword in root: portfuz
Protectie electrica si comutatie,protectie-electrica-si-comutatie,2212,Portfuzibili 400 V c.a.,portfuzibili-400-v-c-a,Portfuzibili 400 V c.a.,14,5,28,high,keyword in root: portfuz
Protectie electrica si comutatie,protectie-electrica-si-comutatie,1592,Ram protection,ram-protection,Ram protection,4,1,4,high,keyword in root: ram protection
Protectie electrica si comutatie,protectie-electrica-si-comutatie,2030,"Rulete, cuţite, echipamente de protecţie",rulete-cutite-echipamente-de-protectie,"Rulete, cuţite, echipamente de protecţie",5,4,10,high,keyword in root: protectie
Protectie electrica si comutatie,protectie-electrica-si-comutatie,289,Separatoare de sarcină verticale cu fuzibili,separatoare-de-sarcina-verticale-cu-fuzibili,Separatoare de sarcină verticale cu fuzibili,11,3,22,high,keyword in root: fuzibil
Protectie electrica si comutatie,protectie-electrica-si-comutatie,1567,Seria B - Comutatoare principale,seria-b-comutatoare-principale,Seria B - Comutatoare principale,35,4,70,high,keyword in root: comutatoare principale
Protectie electrica si comutatie,protectie-electrica-si-comutatie,2108,Seria B - Comutatoare principale pentru oprire de urgenţă,seria-b-comutatoare-principale-pentru-oprire-de-urgenta,Seria B - Comutatoare principale pentru oprire de urgenţă,59,6,118,high,keyword in root: comutatoare principale
Protectie electrica si comutatie,protectie-electrica-si-comutatie,584,Seria KN - Comutatoare principale,seria-kn-comutatoare-principale,Seria KN - Comutatoare principale,37,6,74,high,keyword in root: comutatoare principale
Protectie electrica si comutatie,protectie-electrica-si-comutatie,616,Seria KN - Comutatoare principale pentru oprire de urgenţă,seria-kn-comutatoare-principale-pentru-oprire-de-urgenta,Seria KN - Comutatoare principale pentru oprire de urgenţă,32,7,77,high,keyword in root: comutatoare principale
Protectie electrica si comutatie,protectie-electrica-si-comutatie,305,Seria S - Comutatoare de sursă,seria-s-comutatoare-de-sursa,Seria S - Comutatoare de sursă,20,3,40,high,keyword in root: comutatoare de sursa
Protectie electrica si comutatie,protectie-electrica-si-comutatie,606,Seria S - Comutatoare principale,seria-s-comutatoare-principale,Seria S - Comutatoare principale,15,3,30,high,keyword in root: comutatoare principale
Protectie electrica si comutatie,protectie-electrica-si-comutatie,219,Seria S - Comutatoare principale pentru oprire de urgență,seria-s-comutatoare-principale-pentru-oprire-de-urgenta,Seria S - Comutatoare principale pentru oprire de urgență,38,4,76,high,keyword in root: comutatoare principale
Protectie electrica si comutatie,protectie-electrica-si-comutatie,302,Seria S - Comutatoare principale pentru reparații,seria-s-comutatoare-principale-pentru-reparatii,Seria S - Comutatoare principale pentru reparații,11,2,22,high,keyword in root: comutatoare principale
Protectie electrica si comutatie,protectie-electrica-si-comutatie,747,"Seria S - Comutatoare principale pentru reparații, cu oprire de urgență",seria-s-comutatoare-principale-pentru-reparatii-cu-oprire-de-urgenta,"Seria S - Comutatoare principale pentru reparații, cu oprire de urgență",14,2,28,high,keyword in root: comutatoare principale
Protectie electrica si comutatie,protectie-electrica-si-comutatie,2483,Series B - Mini Cam Switch,series-b-mini-cam-switch,Series B - Mini Cam Switch,13,7,26,high,keyword in root: cam switch
Protectie electrica si comutatie,protectie-electrica-si-comutatie,2868,"Series B - On-Off Cam Switch, with Key",series-b-on-off-cam-switch-with-key,"Series B - On-Off Cam Switch, with Key",2,3,4,high,keyword in root: cam switch
